Country,Latitude,Longitude
Japan,135.283,34.7667
Japan,135.317,34.8333
Japan,135.267,34.8667
Japan,134.533,34.6667
Japan,134.533,34.6667
Japan,135.15,34.9333
Japan,134.817,34.2333
Japan,134.7,34.2333
Japan,134.817,34.1667
Japan,139.95,34.9333
Japan,134.65,34.8833
Japan,134.583,34.9
Japan,134.533,34.6667
Japan,135.2,34.75
Japan,134.6,34.95
Japan,134.867,34.3
Japan,134.85,34.9
Japan,134.733,34.7667
Japan,134.917,34.25
Japan,134.483,34.9667
Japan,134.567,34.8
Japan,135.317,34.8167
Japan,134.7,34.9
Japan,134.733,34.2667
Japan,135.2,34.8667
Japan,134.733,34.7667
Japan,134.7,34.2333
Japan,135.317,34.8167
Japan,135.25,34.75
Japan,135.25,34.7333
Japan,135.317,34.85
Japan,135.317,34.8167
Japan,135.3,34.85
Japan,134.9,34.8333
Japan,134.8,34.2333
Japan,134.85,35.1833
Japan,135.2,35.0167
Japan,135.217,35.0
Japan,135.135,35.1183
Japan,135.102,35.1192
Japan,134.75,35.05
Japan,134.667,35.0333
Japan,134.501,35.4006
Japan,135.167,35.0167
New Zealand,-43.157127,170.6187
New Zealand,-43.425327,172.62318
New Zealand,-43.659214,172.58455
New Zealand,-43.542297,172.61009
New Zealand,-43.425327,172.62318
New Zealand,-43.496624,172.6858
New Zealand,-43.569675,172.74608
New Zealand,-43.64078,172.47809
New Zealand,-43.48167,172.68346
New Zealand,-43.52425,172.59784
New Zealand,-43.48167,172.68346
New Zealand,-43.839725,172.76984
New Zealand,-42.715565,170.97887
New Zealand,-42.8506,171.55858
New Zealand,-41.628613,171.85405
New Zealand,-41.7608,171.59914
New Zealand,-41.65061,172.91005
New Zealand,-41.655106,172.90044
New Zealand,-41.24712,172.82713
New Zealand,-41.076168,172.99419
New Zealand,-41.24712,172.82713
New Zealand,-41.19828,172.10013
New Zealand,-41.43495,172.10513
New Zealand,-41.25967,172.13078
New Zealand,-41.22864,173.37585
New Zealand,-41.222126,173.43784
New Zealand,-41.10279,173.54659
New Zealand,-41.118027,173.56337
New Zealand,-41.22681,173.38777
New Zealand,-41.212322,173.40915
New Zealand,-41.1823,173.48764
New Zealand,-41.20934,173.48187
New Zealand,-41.205055,173.4258
New Zealand,-41.21685,173.40202
New Zealand,-41.120724,173.56221
New Zealand,-41.146053,173.5398
New Zealand,-41.18977,173.42094
New Zealand,-41.291977,173.26877
New Zealand,-41.027737,173.88608
New Zealand,-41.138844,173.54092
New Zealand,-41.22746,173.45576
New Zealand,-41.19317,173.4734
New Zealand,-41.180492,173.48882
New Zealand,-41.17259,173.78075
New Zealand,-41.192406,173.43883
New Zealand,-41.116344,173.53836
New Zealand,-41.12636,173.51222
New Zealand,-41.10818,173.55019
New Zealand,-41.186466,173.56157
New Zealand,-41.278713,174.77289
New Zealand,-41.246624,174.97488
New Zealand,-41.1247,174.83069
New Zealand,-41.124107,174.8676
New Zealand,-41.240322,174.92102
New Zealand,-41.205276,174.97008
New Zealand,-41.11118,174.88748
New Zealand,-41.122074,174.82587
New Zealand,-41.16977,174.93922
New Zealand,-41.191116,174.84566
New Zealand,-41.192856,174.95897
New Zealand,-41.069214,174.86487
New Zealand,-41.345043,174.90614
New Zealand,-41.176914,174.88818
New Zealand,-41.085266,174.87485
New Zealand,-41.272312,174.947
New Zealand,-41.206196,174.96892
New Zealand,-41.19456,174.8553
New Zealand,-41.111828,174.90298
New Zealand,-41.183235,174.88716
New Zealand,-41.092644,175.12508
New Zealand,-41.181965,175.06714
New Zealand,-41.17075,175.03937
New Zealand,-41.1837,175.07077
New Zealand,-40.598503,172.68706
New Zealand,-40.741814,172.57188
New Zealand,-40.95257,174.9994
New Zealand,-40.501186,175.42496
New Zealand,-40.59364,175.31012
New Zealand,-40.501186,175.42496
New Zealand,-40.34322,175.643
New Zealand,-40.92634,175.00575
New Zealand,-39.222282,174.12514
New Zealand,-39.91659,175.03683
New Zealand,-39.217304,176.88606
AUSTRALIA,-38.08,145.76
New Zealand,-38.012524,177.28735
New Zealand,-38.04038,177.26622
New Zealand,-38.00862,177.38972
AUSTRALIA,-37.85,145.2
AUSTRALIA,-37.6752,145.1869
AUSTRALIA,-37.91,145.36
AUSTRALIA,-37.5,149.68
,-37.103188,149.86824
New Zealand,-37.594437,175.63043
New Zealand,-37.87619,175.90259
New Zealand,-37.88707,175.44803
New Zealand,-37.89786,175.4747
New Zealand,-37.731598,175.85701
New Zealand,-37.34143,175.65489
New Zealand,-37.791176,176.36491
New Zealand,-37.68202,176.12102
New Zealand,-37.999184,177.40054
AUSTRALIA,-36.78,146.4
AUSTRALIA,-36.7,146.4
New Zealand,-36.798317,174.89488
New Zealand,-36.84783,174.82127
New Zealand,-36.92636,174.7861
New Zealand,-36.798317,174.89488
New Zealand,-36.73153,174.75018
New Zealand,-36.73153,174.75018
New Zealand,-36.901497,174.65079
New Zealand,-37.0,175.0
New Zealand,-36.182426,175.05615
New Zealand,-36.182426,175.05615
AUSTRALIA,-35.0313,117.8797
,-35.03355,138.68391
,-35.03997,138.74805
AUSTRALIA,-35.1077,148.67
AUSTRALIA,-35.7,148.0
AUSTRALIA,-35.35,149.25
AUSTRALIA,-35.26,149.1
AUSTRALIA,-35.3,149.1
AUSTRALIA,-35.35,149.25
AUSTRALIA,-35.2,149.1
AUSTRALIA,-35.28,149.1
,-35.04517,150.67516
,-35.912598,150.0545
,-35.08203,150.6625
,-35.712753,150.17747
,-35.32807,150.43562
,-35.7704,150.2098
,-35.821777,150.17072
,-35.0532,150.58867
,-35.330482,150.44217
,-35.38096,150.458
,-35.204483,150.43825
,-35.338863,150.46773
,-35.779102,150.20732
,-35.77195,150.20634
,-35.051777,150.67186
New Zealand,-35.211967,173.27118
New Zealand,-35.39817,173.79851
Argentina,-34.33,-58.78
Argentina,-34.33,-58.78
Argentina,-34.52,-58.51
,-34.4,116.4
,-34.2,116.0
AUSTRALIA,-34.1,116.0
,-35.0,117.8
,-35.0,118.0
,-34.764286,146.57384
,-34.764286,146.57384
,-34.30821,150.92331
,-34.037804,150.77179
,-34.220882,150.97707
,-34.571682,150.85283
,-34.65874,150.21776
AUSTRALIA,-34.1,150.5
,-34.911957,150.60095
,-34.65839,150.21825
,-34.85174,150.56346
,-34.410667,150.85027
,-34.88692,150.60681
,-34.108955,150.80878
AUSTRALIA,-34.8,150.6
AUSTRALIA,-34.6,150.6
,-34.053158,150.67606
,-34.63778,150.23857
,-34.65971,150.2175
,-34.170185,150.60796
,-34.434822,150.83965
AUSTRALIA,-34.4,150.5
,-34.203552,150.78859
,-34.372326,150.92136
,-34.094196,150.73424
,-34.449688,150.44203
,-34.476486,150.43033
AUSTRALIA,-34.1,150.7
,-34.65939,150.21738
,-34.65052,150.7708
,-34.248028,150.9709
,-34.564796,150.78238
,-34.44626,150.87471
AUSTRALIA,-34.4555,150.53
,-34.458466,150.43088
,-34.57218,150.85411
,-34.19375,150.70744
,-34.273746,150.95749
,-34.049816,150.67804
,-34.18975,150.98753
,-34.695568,150.1598
AUSTRALIA,-34.4,150.5
,-34.696312,150.1581
,-34.6585,150.21797
,-34.094242,150.73761
,-34.451862,150.87474
,-34.071217,150.69794
AUSTRALIA,-34.1,150.5
,-34.040478,150.67737
,-34.85272,150.60031
,-34.37613,150.87296
,-34.374336,150.87512
,-34.3041,150.93037
,-34.890125,150.58517
,-34.016228,150.87738
,-34.659054,150.2176
,-34.458237,150.42
,-34.056374,150.7144
,-34.569805,150.31519
,-34.049442,150.70235
,-34.659634,150.21733
